Insert into Room Values ('R101', 'Single', 2, 1, 140 ,'A room assigned to one person. May have one or more beds.', 'Yes', 'H001');
Insert into Room Values ('R315', 'Triple', 2, 3, 150 ,'A room assigned to three people. May have two or more beds.', 'No', 'H001');
Insert into Room Values ('R316', 'Twin', 4, 4, 260 ,'A room with two beds. May be occupied by one or more people.', 'Yes', 'H001');
Insert into Room Values ('R317', 'Twin', 4, 4, 260 ,'A room with two beds. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R318', 'Twin', 4, 4, 260 ,'A room with two beds. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R319', 'Twin', 4, 4, 260 ,'A room with two beds. May be occupied by one or more people.', 'Yes', 'H001');
Insert into Room Values ('R320', 'Twin', 4, 4, 260 ,'A room with two beds. May be occupied by one or more people.', 'Yes', 'H001');
Insert into Room Values ('R321', 'Queen', 2, 0, 250 ,'A room with a queen-sized bed. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R322', 'Queen', 2, 0, 250 ,'A room with a queen-sized bed. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R323', 'Queen', 2, 0, 250 ,'A room with a queen-sized bed. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R324', 'Queen', 2, 0, 250 ,'A room with a queen-sized bed. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R325', 'Queen', 2, 0, 250 ,'A room with a queen-sized bed. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R326', 'King', 2, 1, 260 ,'A room with a king-sized bed. May be occupied by one or more people.', 'Yes', 'H001');
Insert into Room Values ('R327', 'King', 2, 1, 260 ,'A room with a king-sized bed. May be occupied by one or more people.', 'Yes', 'H001');
Insert into Room Values ('R328', 'King', 2, 1, 260 ,'A room with a king-sized bed. May be occupied by one or more people.', 'Yes', 'H001');
Insert into Room Values ('R329', 'King', 2, 1, 260 ,'A room with a king-sized bed. May be occupied by one or more people.', 'No', 'H001');
Insert into Room Values ('R330', 'King', 2, 1, 260 ,'A room with a king-sized bed. May be occupied by one or more people.', 'No', 'H001');

